Id,Predicted
0,5645
1,30615
2,1734
3,14191
4,91672
5,38212
6,72336
7,1929
8,81776
9,76034
10,80267
11,44068
12,2096
13,53261
14,29382
15,59713
16,53613
17,67453
18,8271
19,13023
20,65513
21,66282
22,3954
23,7594
24,67575
25,66173
26,26133
27,26188
28,82083
29,41621
30,61078
31,6114
32,28627
33,38175
34,90293
35,20601
36,18286
37,9699
38,2987
39,8407
40,76980
41,8205
42,23790
43,14032
44,19014
45,91131
46,47441
47,15515
48,38438
49,2171
50,11798
51,48010
52,56414
53,49119
54,93539
55,86944
56,78003
57,48193
58,75305
59,17396
60,25460
61,90038
62,7544
63,14822
64,30670
65,13070
66,59677
67,72028
68,3408
69,83569
70,6246
71,94608
72,47610
73,24400
74,13394
75,86945
76,51724
77,36611
78,9512
79,7766
80,55953
81,1781
82,90889
83,50031
84,20667
85,12113
86,24979
87,61122
88,28321
89,81836
90,4328
91,55008
92,18539
93,71734
94,44013
95,55505
96,26512
97,12824
98,17742
99,53598
100,92160
101,9242
102,18352
103,81106
104,77846
105,70334
106,78576
107,56686
108,66313
109,47034
110,97706
111,67260
112,22161
113,36466
114,6818
115,2172
116,54085
117,19376
118,34507
119,22584
120,69850
121,96069
122,38699
123,94970
124,2434
125,54678
126,15613
127,45227
128,13839
129,92990
130,14564
131,49240
132,45419
133,71634
134,69879
135,5877
136,30610
137,74165
138,14432
139,13702
140,80150
141,72718
142,22609
143,2363
144,35416
145,23974
146,78247
147,85445
148,7174
149,7827
150,56895
151,70372
152,6744
153,97382
154,73669
155,38468
156,50374
157,6765
158,82727
159,5446
160,90573
161,50440
162,98731
163,89255
164,70501
165,46557
166,40421
167,60858
168,10406
169,79587
170,62303
171,82342
172,67941
173,46315
174,9921
175,1929
176,50701
177,60916
178,92913
179,45359
180,8328
181,60781
182,35290
183,73396
184,2685
185,56812
186,66476
187,48943
188,55195
189,34826
190,75985
191,58394
192,4368
193,1019
194,90711
195,98104
196,15030
197,74497
198,2481
199,81589
200,49039
201,34375
202,12666
203,49174
204,7878
205,23572
206,76719
207,69455
208,55972
209,9344
210,41318
211,18528
212,79980
213,15091
214,89079
215,56082
216,10137
217,94141
218,3172
219,54085
220,28767
221,59946
222,52045
223,74460
224,32184
