Id,Predicted
0,11549
1,28995
2,11549
3,28995
4,11549
5,28995
6,11549
7,28995
8,11549
9,28995
10,11549
11,28995
12,11549
13,28995
14,11549
15,28995
16,11549
17,28995
18,11549
19,28995
20,11549
21,28995
22,11549
23,28995
24,11549
25,28995
26,11549
27,28995
28,11549
29,28995
30,11549
31,28995
32,11549
33,28995
34,11549
35,28995
36,11549
37,28995
38,11549
39,28995
40,11549
41,28995
42,11549
43,28995
44,11549
45,28995
46,11549
47,28995
48,11549
49,28995
50,11549
51,28995
52,11549
53,28995
54,11549
55,28995
56,11549
57,28995
58,11549
59,28995
60,11549
61,28995
62,11549
63,28995
64,11549
65,28995
66,11549
67,28995
68,11549
69,28995
70,11549
71,28995
72,11549
73,28995
74,11549
75,28995
76,11549
77,28995
78,11549
79,28995
80,11549
81,28995
82,11549
83,28995
84,11549
85,28995
86,11549
87,28995
88,11549
89,28995
90,11549
91,28995
92,11549
93,28995
94,11549
95,28995
96,11549
97,28995
98,11549
99,28995
100,11549
101,28995
102,11549
103,28995
104,11549
105,28995
106,11549
107,28995
108,11549
109,28995
110,11549
111,28995
112,11549
113,28995
114,11549
115,28995
116,11549
117,28995
118,11549
119,28995
120,11549
121,28995
122,11549
123,28995
124,11549
125,28995
126,11549
127,28995
128,11549
129,28995
130,11549
131,28995
132,11549
133,28995
134,11549
135,28995
136,11549
137,28995
138,11549
139,28995
140,11549
141,28995
142,11549
143,28995
144,11549
145,28995
146,11549
147,28995
148,11549
149,28995
150,11549
151,28995
152,11549
153,28995
154,11549
155,28995
156,11549
157,28995
158,11549
159,28995
160,11549
161,28995
162,11549
163,28995
164,11549
165,28995
166,11549
167,28995
168,11549
169,28995
170,11549
171,28995
172,11549
173,28995
174,11549
175,28995
176,11549
177,28995
178,11549
179,28995
180,11549
181,28995
182,11549
183,28995
184,11549
185,28995
186,11549
187,28995
188,11549
189,28995
190,11549
191,28995
192,11549
193,28995
194,11549
195,28995
196,11549
197,28995
198,11549
199,28995
200,11549
201,28995
202,11549
203,28995
204,11549
205,28995
206,11549
207,28995
208,11549
209,28995
210,11549
211,28995
212,11549
213,28995
214,11549
215,28995
216,11549
217,28995
218,11549
219,28995
220,11549
221,28995
222,11549
223,28995
224,11549
225,28995
226,11549
227,28995
228,11549
229,28995
230,11549
231,28995
232,11549
233,28995
234,11549
235,28995
236,11549
237,28995
238,11549
239,28995
240,11549
241,28995
242,11549
243,28995
244,11549
245,28995
246,11549
247,28995
248,11549
249,28995
250,11549
251,28995
252,11549
253,28995
254,11549
255,28995
256,11549
257,28995
258,11549
259,28995
260,11549
261,28995
262,11549
263,28995
264,11549
265,28995
266,11549
267,28995
268,11549
269,28995
270,11549
271,28995
272,11549
273,28995
274,11549
275,28995
276,11549
277,28995
278,11549
279,28995
280,11549
281,28995
282,11549
283,28995
284,11549
285,28995
286,11549
287,28995
288,11549
289,28995
290,11549
291,28995
292,11549
293,28995
294,11549
295,28995
296,11549
297,28995
298,11549
299,28995
300,11549
301,28995
302,11549
303,28995
304,11549
305,28995
306,11549
307,28995
308,11549
309,28995
310,11549
311,28995
312,11549
313,28995
314,11549
315,28995
316,11549
317,28995
318,11549
319,28995
320,11549
321,28995
322,11549
323,28995
324,11549
325,28995
326,11549
327,28995
328,11549
329,28995
330,11549
331,28995
332,11549
333,28995
334,11549
335,28995
336,11549
337,28995
338,11549
339,28995
340,11549
341,28995
342,11549
343,28995
344,11549
345,28995
346,11549
347,28995
348,11549
349,28995
350,11549
351,28995
352,11549
353,28995
354,11549
355,28995
356,11549
357,28995
358,11549
359,28995
360,11549
361,28995
362,11549
363,28995
364,11549
365,28995
366,11549
367,28995
