Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Aashiqui,(1990),11,Mahesh Bhatt,"Gulshan Kumar, Mukesh Bhatt","Rahul Roy, Anu Agarwal, Reema Lagoo, Deepak Tijori, Avtar Gill, Tom Alter, Mushtaq Khan, Javed Khan, Sunil Rege, Homi Wadia, Anang Desai","Madan P, Rani Malik, Sameer","Nadeem Saifee, Shravan","Anuradha Paudwal, Kumar Sanu, Udit Narayan","https://www.imdb.com/title/tt0149573, http://en.wikipedia.org/wiki/Aashiqui",
Aashiqui 2,(2013),13,Mohit Suri,"Bhushan Kumar, Kishan Kumar, Mukesh Bhatt","Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa","Irshad Kamil,  Mithoon, Sanjay Masoom,  Sandeep Nath","Jeet Ganguly, Mithoon, Ankit Tiwari","K K,  Shreya Ghoshal,  Arijit Singh,  Mustafa Zahid,  Ankit Tiwari,  Palak Muchhal,  Tulsi Kumar","https://www.imdb.com/title/tt2203308, http://en.wikipedia.org/wiki/Aashiqui_2",
Abhimaan,(1973),7,Hrishikesh Mukherjee,Pawan Kumar,"Amitabh Bachchan, Jaya Bachchan, Asrani, David, Bindu, Durga Khote, A K Hangal, Lalita Kumari, Raju Shreshta, Jaywant Pathare, Habiba Rehman, Bhola",Majrooh Sultanpuri,S D Burman,"Kishore Kumar, Lata Mangeshkar, Manhar Udhas, Mohammed Rafi","https://www.imdb.com/title/tt0069671, http://en.wikipedia.org/wiki/Abhimaan_%281973_film%29","https://www.youtube.com/watch?v=kGs3N6nN3AQ, https://www.youtube.com/watch?v=lkCIgsmo_Hg"
Adalat,(1958),8,Kalidas,"Mallika Kawatra, N. S. Kawatra","Pradeep Kumar, Nargis Dutt, Pran, Yaqub, Achla Sachdev, Murad, Rashid Khan",Rajinder Krishan,Madan Mohan,"Lata Mangeshkar, Mohammed Rafi, Asha Bhosle, Geeta Dutt ","https://www.imdb.com/title/tt0051340, http://en.wikipedia.org/wiki/Adalat_%281958_film%29","https://www.youtube.com/watch?v=pfAszAm16Rw, https://www.youtube.com/watch?v=TkuQuzKxFlI"
Amar,(1954),11,Mehboob Khan,Mehboob Khan,"Dilip Kumar, Nimmi, Madhubala, Jayant, Ulhas, Murad, Mukri, Husn Banu",Shakeel Badayuni,Naushad Ali,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0046703, http://en.wikipedia.org/wiki/Amar_%28film%29","https://www.youtube.com/watch?v=rPEi7KeCPn8, https://www.youtube.com/watch?v=E8JjcmOz0xA"
Amar Prem,(1972),7,Shakti Samanta,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore, Vinod Mehra, Sujit Kumar, Om Parkesh, Bindu, Farida Jalal, Satyen Kappu, Manmohan, Moolchand, Asit Sen, Raju Shreshta, Madan Puri, Naaz, Rakesh Pandey, Birbal",Anand Bakshi,R D Burman,"Kishore Kumar, Lata Mangeshkar, S D Burman","https://www.imdb.com/title/tt0066758, http://en.wikipedia.org/wiki/Amar_Prem",https://www.youtube.com/watch?v=iZMwDnsIlnk
Anand,(1971),5,Hrishikesh Mukherjee,"Hrishikesh Mukherjee, N C Sippy","Rajesh Khanna, Amitabh Bachchan, Seema Deo, Sumitra Sanyal, Ramesh Deo, Johny Walker, Lalita Pawar, Asit Sen, Durga Khote, Dara Singh Randhawa, Lalita Kumari, Atma Prakash, Dev Kishan, Gurnam, Moolchand, Savita","Gulzar, Yogesh",Salil Chowdhary,"Lata Mangeshkar, Manna Dey, Mukesh","https://www.imdb.com/title/tt0066763, http://en.wikipedia.org/wiki/Anand_%281970_film%29","https://www.youtube.com/watch?v=j2_KnP5ksNE, https://www.youtube.com/watch?v=iYsJT6QaTIo"
Anari,(1959),7,Hrishikesh Mukherjee,B Lachman,"Raj Kapoor, Nutan, Lalita Pawar, Motilal, Mukri, Shobha Khote, Helen, Nana Palsikar, Ruby, Tiwari, Pran, Ashim Kumar, Paul Mahendra, Vishwa Mehra, Meena, Aruna, Viren Mathan, Nazir","Hasrat Jaipuri, Shailendra","Dattaram Wadkar, Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Manna Dey, Mukesh","https://www.imdb.com/title/tt0052560, http://en.wikipedia.org/wiki/Anari","https://www.youtube.com/watch?v=eGtG9DtYL4s, https://www.youtube.com/watch?v=dgjO9hI6RnQ"
Anarkali,(1953),12,Nandalal Jaswantlal,,"Pradeep Kumar, Beena Roy, Mubarak, Noor Jahan, Manmohan Krishan, Sulochana, S L Puri, Kuldip Kaur","Hasrat Jaipuri, Shailendra, Rajinder Krishan, Jan Nisar Akhtar","Basant Prakash, C Ramachandra","Geeta Dutt, Hemant Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0045506, http://en.wikipedia.org/wiki/Anarkali_%281953_film%29","https://www.youtube.com/watch?v=mPGoznWGdXw, https://www.youtube.com/watch?v=LVOSdajjynk"
Andaz,(1971),7,Ramesh Sippy,G P Sippy,"Shammi Kapoor, Hema Malini, Rajesh Khanna, Roopesh Kumar, Ajit, Sonia Sahni, Simi Garewal, Aruna Irani, Achla Sachdev, David",Hasrat Jaipuri,"Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Asha Bhosle, Kishore Kumar, Mohammed Rafi, Pratibha","https://www.imdb.com/title/tt0066766, http://en.wikipedia.org/wiki/Andaz_%281971_film%29",https://www.youtube.com/watch?v=WXK2Yxhrlio
Anpadh,(1962),7,Mohan Kumar,,"Dharmendra, Mala Sinha, Balraj Sahni, Bindu, Shashikala, Mumtaz, Dhumal, Nazir Hasain",Raja Mehdi Khan,Madan Mohan,"Asha Bhosle, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0206554, http://en.wikipedia.org/wiki/Anpadh","https://www.youtube.com/watch?v=JPjJThWSUfs, https://www.youtube.com/watch?v=mJYJPQ05g6g"
Aradhana,(1969),7,Shakti Samanta,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore, Sujit Kumar, Farida Jalal, Subhash Ghai, Madan Puri, Asit Sen, Phari Sanyal, Anita Dutt, Abhi Bhattacharya, Manmohan, Dulari, Uma Dutt, Lalita Kumari, C S Dube, Subroto Mahapatra, Ashok Kumar, Master Shahid, Birbal, Ram Avtar, Krishna Kant, Tiwari, Haroon",Anand Bakshi,S D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, S D Burman","https://www.imdb.com/title/tt0065416, http://en.wikipedia.org/wiki/Aradhana_%281969_film%29",https://www.youtube.com/watch?v=bjQ9JmZBl6U
Awara,(1951),12,Raj Kapoor,,"Raj Kapoor, Nargis Dutt, Prithviraj Kapoor, K N Singh, Cuckoo, B M Vyas","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Manna Dey, Mohammed Rafi, Mukesh, Shamshad Begum","https://www.imdb.com/title/tt0043306, http://en.wikipedia.org/wiki/Awaara","https://www.youtube.com/watch?v=1ZvlgH2TtnQ, https://www.youtube.com/watch?v=B2j_ft_3cSE"
Aa Gale Lag Jaa,(1973),8,Manmohan Desai,A K Nadiadwala,"Shashi Kapoor, Sharmila Tagore, Master Tito, Omprakash, Asrani, Shatrughan Sinha, Jagdeep",Sahir Ludhianvi,R D Burman,"Kishore Kumar, Lata Mangeshkar, Sushma Shrestha","https://www.imdb.com/title/tt0177473, http://en.wikipedia.org/wiki/Aa_Gale_Lag_Jaa","https://www.youtube.com/watch?v=CwOGpuTObWA, https://www.youtube.com/watch?v=h4OIcHP30Kk"
Aah,(1953),13,Raja Nawathe,Raj Kapoor,"Raj Kapoor, Nargis Dutt, Vijayalaxmi, Pran, Mukesh, Leela Mishra, Ramesh Sinha, Bhupendra, Rashid Khan, Sohanlal, Chitra, Kusum","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mukesh","https://www.imdb.com/title/tt0045467, https://en.wikipedia.org/wiki/Aah_%28film%29","https://www.youtube.com/watch?v=2SVgWV1m2pc, https://www.youtube.com/watch?v=InEwyyMvFbE"
Aaj,(1987),5,Mahesh Bhatt,Kuljit Pal,"Kumar Gaurav, Anamika Pal, Raj Babbar, Marc Zuber, Raj Kiran","Sudarshan Faakir, Madan Pal","Chitra Singh, Jagjit Singh","Vinod Sehgal, Ghanshyam Vaswani, Ashok Khosla, Junaid Akhtar, Jagjit Singh",https://www.imdb.com/title/tt0156256,https://www.youtube.com/watch?v=dyXvYC0pJcM
Aaj Aur Kal,(1963),9,Vasant Joglekar,Vasant Joglekar,"Sunil Dutt, Nanda, Ashok Kumar, Raj Kumar, Tanuja, Agha, Dhumal, Deven Verma",Sahir Ludhianvi,Ravi,"Mohammed Rafi, Asha Bhosle, Mahendra Kapoor, Geeta Dutt, Manna Dey","https://www.imdb.com/title/tt0056805, http://en.wikipedia.org/wiki/Aaj_Aur_Kal","https://www.youtube.com/watch?v=fsNtiSXYWag, https://www.youtube.com/watch?v=HszeMybKvYs"
Aaj Ka Arjun,(1990),7,K C Bokadia,K C Bokadia,"Amitabh Bachchan, Jaya Prada, Radhika, Kiran Kumar, Amrish Puri, Anupam Kher, Preeti Sapru, Suresh Oberoi, Asrani, Rishabh Shukla, Baby Guddo, Jr Mehmood, Anirudh Agarwal",Anjaan,Bappi Lahiri,"Kavita Krishnamurthy, Lata Mangeshkar, Mohammed Aziz, Amit Kumar, Bappi Lahiri, Alka Yagnik","https://www.imdb.com/title/tt0098976, http://en.wikipedia.org/wiki/Aaj_Ka_Arjun",
Aaja Nachle,(2007),9,Anil Mehta,Aditya Chopra,"Madhuri Dixit, Akshaye Khanna, Konkona Sen Sharma, Kunal Kapoor, Ranvir Shorey, Irrfan Khan, Divya Dutta, Vinay Pathak, Yashpal Sharma, Akhilendra Mishra, Jugal Hansraj, Sushmita Mukherjee, Uttara Baokar, Vinod Nagpal, Asha Sachdev, Darshan Jariwala, Raghuveer Yadav, Nowaz, Dalai, Felix D","Asif Ali Beg, Jaideep Sahni, Piyush Mishra","Salim Merchant, Sulaiman Merchant","Kailash Kher, Madhuri Dixit, Rahat Fateh Ali Khan, Richa Sharma, Salim Merchant, Shreya Ghoshal, Sonia Saigal, Sonu Nigam, Sukhwinder Singh, Sunidhi Chauhan","https://www.imdb.com/title/tt0986213, http://en.wikipedia.org/wiki/Aaja_Nachle",
Aakhir Kyon,(1985),5,J Om Prakash,J Om Prakash,"Rajesh Khanna, Smita Patil, Rakesh Roshan, Tina Munim, Asrani, Sujit Kumar, Baby Guddo, Indu Shivraj, Shobha Khote, Renu Joshi",Indeevar,Rajesh Roshan,"Asha Bhosle, Lata Mangeshkar, Mohammed Aziz, Anuradha Paudwal, Amit Kumar, Amit Kumar","https://www.imdb.com/title/tt0247910, http://en.wikipedia.org/wiki/Aakhir_Kyon%3F",https://www.youtube.com/watch?v=pjBDtpEjfnQ
Baiju Bawra,(1952),13,Vijay Bhatt,Prakash Pictures,"Bharat Bhushan, Meena Kumari, B M Vyas, Ratan Kumar, Surendra, Baby Tabassum, Kuldip Kaur, Bipin Gupta, Manmohan Krishna, Mishra, Radha Kishan, Kesari F, Rai Mohan, Bhagwan, Nadira, Ramesh, Krishan Kumari",Shakeel Badayuni,Naushad Ali,"Lata Mangeshkar, Mohammed Rafi, Shamshad Begum, Ustaad Aamir Khan","https://www.imdb.com/title/tt0044392, https://en.wikipedia.org/wiki/Baiju_Bawra_(film)","https://www.youtube.com/watch?v=gxU7m0JTVrs, https://www.youtube.com/watch?v=44cnP7H4KhA"
Bandini,(1963),7,Bimal Roy,Bimal Roy,"Ashok Kumar, Nutan, Dharmendra, Raha Paranjpe, Tarun Bose, Asit Sen, Moni Chatterjee, Iftekhar, Sulochana Chatterjee, Parveen Paul, Chandrima Bhaduri, Raj Verma, Satyen Kappu, Bhola, Benjamin, Sharma, Pardesi, Kapoor, Laxmi, Sulochana, Kalpana, Mehar Banu, Leela, Bela Bose, Devika, Ruby, Sadhana Khote, Rakesh, Kaun Roy, Hiralal, Rajdeep, Bharati Devi, Samar Chatterjee","Gulzar, Shailendra",S D Burman,"Asha Bhosle, Lata Mangeshkar, Manna Dey, Mukesh, S D Burman","https://www.imdb.com/title/tt0056850, http://en.wikipedia.org/wiki/Bandini_%281963_film%29",https://www.youtube.com/watch?v=YM9KGNVROMM
Barsaat Ki Raat,(1960),11,P L Santoshi,,"Bharat Bhushan, Madhubala, Shyama, Ratna, Chandrashekhar, Mumtaz Begum, S K Prem, K N Singh, Peace Kanwal",Sahir Ludhianvi,Roshan,"Asha Bhosle, Balbir Bittu, Kamal, Lata Mangeshkar, Manna Dey, Mohammed Rafi, S D Batish, Shankar Shambhu, Sudha Malhotra, Suman Kalyanpur","https://www.imdb.com/title/tt0053637, http://en.wikipedia.org/wiki/Barsaat_Ki_Raat","https://www.youtube.com/watch?v=fMXKZ6V_h0U, https://www.youtube.com/watch?v=Vcg-jxVIQUU"
Bees Saal Baad,(1962),5,Biren Nag,,"Biswajeet, Waheeda Rehman, Asit Sen, Manmohaan Krishan, Madan Puri, Sajjan, Krishnan, Lata Sinha, Dev Kishan, Prakash, Prem Kumar, Pathak",Shakeel Badayuni,Hemant Kumar,"Hemant Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0055783, http://en.wikipedia.org/wiki/Bees_Saal_Baad","https://www.youtube.com/watch?v=yEOGUYv5p8U, https://www.youtube.com/watch?v=48cLrmB331M"
Bobby,(1973),8,Raj Kapoor,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Premnath, Pran, Aruna Irani, Prem Chopra, Farida Jalal, Durga Khote, Sonia Sahni, Piloo Wadia, Pinchoo Kapoor, Jagdishraj, Shashi Kiran, Ghanshyam, Pardesi, Aarti, Raj Rani, Chanda, Kamal, Bhanumati, Mona","Anand Bakshi, Vithalbhai Patel","Laxmikant Kudalkar, Pyarelal","Chanchal, Lata Mangeshkar, Manna Dey, Shailendra Singh","https://www.imdb.com/title/tt0069810, http://en.wikipedia.org/wiki/Bobby_%281973_film%29",https://www.youtube.com/watch?v=PRsTIpKhQpQ
Bombay,(1995),6,Mani Ratnam,Mani Ratnam,"Arvind Swamy, Manisha Koirala, Tinu Anand, Naseer, Sonali Bendre, Radhabai, Sheela, Akash Khurana, Kitty William, Venkatesh, Arun, Vinay Malhotra, Priya",Mehboob,A R Rahman,"Anupama, Chitra, Gyan Prakash, Hariharan, Kavita Krishnamurthy, Pallavi, Shardha Bodake, Shoba Anand, Srinivas, Udit Narayan","https://www.imdb.com/title/tt0112553, http://en.wikipedia.org/wiki/Bombay_(film)",https://www.youtube.com/watch?v=92T5n-VPgjE
Baabul,(2006),11,Ravi Chopra,B R Chopra,"Amitabh Bachchan, Hema Malini, Rani Mukherjee, Om Puri, Salman Khan, John Abraham, Aman Verma, Parmeet Sethi, Rajpal Yadav, Smita Jaykar, Avtar Gill, Gargi Patel, Sharat Saxena, Vaishnavi, Neeta Lulla, Beena, Vijay Patkar, Sarika, Master Dhairya",Sameer,Aadesh Shrivastav,"Aadesh Shrivastav, Alka Yagnik, Amitabh Bachchan, Dj Suketu, Jagjit Singh, Kailash Kher, Kavita Krishnamurthy, Kunal Ganjawala, Ranjit Barot, Richa Sharma, Shreya Ghoshal, Sonu Nigam, Sudesh Bhosle","https://www.imdb.com/title/tt0419468, http://en.wikipedia.org/wiki/Baabul_%282006_film%29",https://www.youtube.com/watch?v=j-IIftj09CI
Babu,(1985),7,A V Tirlokchander,V R Parameshwaran,"Rajesh Khanna, Hema Malini, Deepak Parashar, Rati Agnihotri, Paintal, Madan Puri, Mala Sinha, Agha, Baby Geeta, Mukri, Naveen Nischol, Rajendra Nath, Om Shiv Puri",Majrooh Sultanpuri,Rajesh Roshan,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0360399, http://en.wikipedia.org/wiki/Babu_%28film%29","https://www.youtube.com/watch?v=bZe2zWRckFk, https://www.youtube.com/watch?v=hiKu-tjrRZ4"
Babul,(1950),14,S U Sunny,Naushad Ali,"Dilip Kumar, Nargis Dutt, Munawar Sultana, Tun Tun, Amar, A Shah, Jankidas, Vinod, Ismail, Jugnu, Seema, Khursheed",Shakeel Badayuni,Naushad Ali,"Lata Mangeshkar, Shamshad Begum, Talat Mahmood","https://www.imdb.com/title/tt0331186, http://en.wikipedia.org/wiki/Babul_%281950_film%29","https://www.youtube.com/watch?v=QV9mkRUMSPk, https://www.youtube.com/watch?v=fZOnhsSkGag"
Bachna Ae Haseeno,(2008),6,"Aditya Chopra, Siddharth Anand",Aditya Chopra,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba, Kunal Kapoor, Hiten Paintal, Puneet Issar",Anvita Dutt Guptan,"Vishal Dadlani, Shekhar Ravjiani","Hard Kaur, Himani Kapoor, K K, Kishore Kumar, Lucky Ali, Raja Hasan, Shankar Mahadevan, Shekhar Ravjiani, Shilpa Rao, Shreya Ghoshal, Sukhwinder Singh, Sumeet Kumar, Sunidhi Chauhan, Vishal Dadlani","https://www.imdb.com/title/tt1182972, http://en.wikipedia.org/wiki/Bachna_Ae_Haseeno",
Badal,(1951),8,Amiya Chakraborty,Bhagwan Das Verma,"Premnath, Madhubala, Agha, Poornima, S Nasir, Hiralal, Krishnakant, Anand Pal","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mukesh",https://www.imdb.com/title/tt0130489,"https://www.youtube.com/watch?v=XDzYB7ydwCE, https://www.youtube.com/watch?v=BLxLzEwjUyQ"
Bade Miyan Chote Miyan,(1998),8,David Dhawan,Vashu Bhagnani,"Amitabh Bachchan, Govinda, Raveena Tandon, Ramya, Anupam Kher, Paresh Rawal, Satish Kaushik, Sharat Saxena, Rakesh Bedi, Sushma Seth, Divya Dutta, Asrani, Avtar Gill, Razzak Khan, Jitu Verma, Gavin Packard, David Dhawan, Madhuri Dixit, Kader Khan, Tiku Talsania, Mahavir Shah, Javed Khan, Ghanshyam, Shehzad Khan, Shashi Kiran, Kishore Bhanushali, Babban Yadav, Manmouji, Jugnu, Jack Gaud, Shiva, Viju Khote",Sameer,Viju Shah,"Alka Yagnik, Amit Kumar, Anuradha Paudwal, Jaspinder Narula, Kavita Krishnamurthy, Poonam Bhatia, Rakesh Pandit, Sudesh Bhosle, Udit Narayan","https://www.imdb.com/title/tt0118673, http://en.wikipedia.org/wiki/Bade_Miyan_Chote_Miyan",https://www.youtube.com/watch?v=v2H_PxY_sho
Badmaash Company,(2010),7,Parmeet Sethi,"Aditya Chopra, Yash Chopra","Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das, Anupam Kher, Kiran Juneja, Pawan Malhotra, Jameel Khan",Anvita Dutt Guptan,Pritam Chakraborty,"Benny Dayal, K K, Krishna, Mohit Chauhan, Rahat Fateh Ali Khan","https://www.imdb.com/title/tt1602476, http://en.wikipedia.org/wiki/Badmaash_Company",
Baghban,(2003),9,Ravi Chopra,B R Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan, Mahima Choudhary, Aman Verma, Sameer Soni, Saahil Chadha, Nasir Kazi, Divya Dutta, Suman Ranganathan, Rimi Sen, Paresh Rawal, Lilette Dubey, Mohan Joshi, Sharat Saxena, Arzoo Govitrikar, Anang Desai, Master Yash Pathak, Nakul Vaid, Avtar Gill, Asrani, Gajendra Chauhan, Shashi Kiran, Sanjeeda Sheikh","Hasan Kamaal, Sameer","Aadesh Shrivastav, Uttam Singh","Aadesh Shrivastav, Alka Yagnik, Amitabh Bachchan, Hema Sardesai, Richa Sharma, Sneha Pant, Sudesh Bhosle, Sukhwinder Singh, Udit Narayan","https://www.imdb.com/title/tt0337578, http://en.wikipedia.org/wiki/Baghban_%28film%29",https://www.youtube.com/watch?v=vKgA_-NUtjE
Bahar,(1951),10,M V Raman,,"Karan Dewan, Pran, Vyjayantimala, Padmini, Baby Tabassum, Sundar, Gope, Om Prakash, Leela Mishra, Pandaribai",,S D Burman,"Geeta Dutt, Kishore Kumar, Shamshad Begum, Talat Mahmood","https://www.imdb.com/title/tt0043310, http://en.wikipedia.org/wiki/Bahar_(film)","https://www.youtube.com/watch?v=8erqBblt69g, https://www.youtube.com/watch?v=UIpe2U2e99A"
Baharen Phir Bhi Aayengi,(1966),6,Shahid Lateef,Guru Dutt Films Ltd.,"Dharmendra, Mala Sinha, Tanuja, Johny Walker, Rehman, Deven Verma, Panchotia, Madhavi, Badri Prasad, Moni Chatterjee, Srandhir, Mumtaz Begum, Geetanjali, Durrani, Paul Mahendra, Haroon, Saroj Borkar","Anjaan, Shewan Rizvi, Aziz Kashmiri, S.H. Bihari, Kaifi Azmi",O P Nayyar,"Asha Bhosle, Mohammed Rafi, Mahendra Kapoor","https://www.imdb.com/title/tt0060145, http://en.wikipedia.org/wiki/Baharen_Phir_Bhi_Aayengi",
Balika Badhu,(1976),6,Tarun Majumdar,Shakti Samanta,"Sachin Pilgaonkar, Rajni Sharma, Asrani, Om Shiv Puri, A K Hangal, Prema Narayan, Paintal, Urmila Bhatt, Asit Sen, Preeti Ganguli, Kajree",Anand Bakshi,R D Burman,"Amit Kumar, Asha Bhosle, Kishore Kumar, R D Burman, Sapan Chakravarthy","https://www.imdb.com/title/tt0237022, http://en.wikipedia.org/wiki/Balika_Badhu_%281976%29",https://www.youtube.com/watch?v=BUK-rlUB2Tg
Baradari,(1955),11,K Amarnath,K Amarnath Productions Ltd,"Ajit, Geeta Bali, Pran, Gope, Murad, Cuckoo, Minu Mumtaz, Chandrashekhar, Tiwari, Sapru, Amir Bano, Ramesh Thakur",Khumar Barabankwi,Shaukat Dehlvi Nashad,"Lata Mangeshkar, Mohammed Rafi, Shamshad Begum, Talat Mahmood",https://www.imdb.com/title/tt0154206,"https://www.youtube.com/watch?v=tPFdkF_LhGI, https://www.youtube.com/watch?v=JtB7jNZ3Naw"
Barsaat,(1949),11,Raj Kapoor,Raj Kapoor,"Raj Kapoor, Nargis, Premnath, Nimmi, K. N. Singh, B M Vyas, Dolly Baldeo, Ratan Gaurang, Pushpa, Prakash Arora, Susheela Devi, Heren Khera, Vishwa Mehra, Master Sandow, Cuckoo, Bimla, Romani","Hasrat Jaipuri, Jalal Aga, Ramesh S, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0041161, http://en.wikipedia.org/wiki/Barsaat_%281949_film%29","https://www.youtube.com/watch?v=PFW8__AAgXY, https://www.youtube.com/watch?v=CWCpWK-jZgw"
Barsaat Ki Ek Raat,(1981),5,Shakti Samanta,Shakti Samanta,"Amitabh Bachchan, Rakhee, Amjad Khan, Utpal Dutt, Asit Sen, Prema Narayan",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0080376, http://en.wikipedia.org/wiki/Barsaat_Ki_Ek_Raat",https://www.youtube.com/watch?v=jQ2jRFcjUjQ
Chalti Ka Naam Gaadi,(1959),8,Satyen Bose,,"Kishore Kumar, Madhubala, Ashok Kumar, Anoop Kumar, Sajjan, K N Singh, Mohan Choti, Veena, Sahira, Cuckoo, Helen",Majrooh Sultanpuri,"S D Burman, R D Burman, Jaidev","Asha Bhosle, Kishore Kumar, Manna Dey, Sudha Malhotra","https://www.imdb.com/title/tt0128985, http://en.wikipedia.org/wiki/Chalti_Ka_Naam_Gaadi","https://www.youtube.com/watch?v=VoIXo60itPY, https://www.youtube.com/watch?v=ZS7OvByAaiU"
Chandni,(1989),11,Yash Chopra,Yash Chopra,"Rishi Kapoor, Sridevi, Vinod Khanna, Anupam Kher, Sushma Seth, Waheeda Rehman, Juhi Chawla, Achla Sachdev, Meeta Vasisht, Ram Gopal Bajaj, Beena, Manohar Singh, Renu Arya, Anant Mahadevan, Asha Sharma, Suhas Joshi, Lalit Tiwari, Bharat Bhushan",Anand Bakshi,Shiv Hari,"Asha Bhosle, Babla Mehta, Jolly Mukherjee, Lata Mangeshkar, Nitin Mukesh, Pamela Chopra, Sridevi, Suresh Wadkar, Vinod Rathod","https://www.imdb.com/title/tt0097045, http://en.wikipedia.org/wiki/Chandni",
Chaudhvin Ka Chand,(1960),10,M Sadiq,Guru Dutt,"Guru Dutt, Waheeda Rehman, Minu Mumtaz, Rehman, Johnny Walker, Mumtaz Begum, Parveen Paul, Noor Jahan, Tun Tun, Farida Jalal, Vikram Kapoor, S N Banerjee, Uma Devi, Lata Sinha, Naazi, Zebunisa, Kesarbai, Indumati, Aruna, Balam, Prakash, Usmani, Nazir Kashmiri",Shakeel Badayuni,Ravi,"Asha Bhosle, Geeta Dutt, Lata Mangeshkar, Mohammed Rafi, Shamshad Begum","https://www.imdb.com/title/tt0053706, http://en.wikipedia.org/wiki/Chaudhvin_Ka_Chand",https://www.youtube.com/watch?v=sJUufVJ1_-s
