Artists,Title,Rating,Number of Votes,Movie Title
"Anuradha Paudwal, Kumar Sanu",Dhire Dhire Se Meri Zindagi Men Aanaa,4.40,949,Aashiqui
Kumar Sanu,Sanso Ki Jarurat Hai Jaise,4.38,822,Aashiqui
Anuradha Paudwal,Ek Sanam Chahiye Aashiqui Ke Liye (Female),4.22,273,Aashiqui
Kumar Sanu,Dil Ka Aalam Main Kya Batau Tujhe,4.21,169,Aashiqui
"Anuradha Paudwal, Kumar Sanu","Tu Meri Zindagi Hai, Tu Meri Har Khushi Hai",4.15,254,Aashiqui
"Kumar Sanu, Anuradha Paudwal",Najar Ke Samne Jigar Ke Pas,4.08,175,Aashiqui
"Kumar Sanu, Anuradha Paudwal","Main Duniyaa Bhulaa Dungaa, Teri Chaahat Men",4.06,187,Aashiqui
"Kumar Sanu, Anuradha Paudwal","Ab Tere Bin Ji Lenge Ham, Zahar Zindagi Ka Pi Lenge Ham",3.97,215,Aashiqui
"Udit Narayan, Anuradha Paudwal",Mera Dil Tere Liye Dhadkta Hai,4.24,75,Aashiqui
"Anuradha Paudwal, Kumar Sanu","Janam Janeja Janam Janejahan, Tu Jo Mujhe Na Mila",3.90,52,Aashiqui
"Anuradha Paudwal, Kumar Sanu",Jaan-e-jigar Janeman (2),4.16,45,Aashiqui
"Arijit Singh, Palak Muchhal",Chahu Main Ya Na,4.42,3168,Aashiqui 2
"Palak Muchhal, Arijit Singh",Meri Aashiqi Ab Tum Hi Ho,4.40,1472,Aashiqui 2
Arijit Singh,Ab Tum Hi Ho (Ham Tere Bin Ab Rah Nahi Sakte),4.39,8943,Aashiqui 2
Mustafa Zahid,Bhula Dena Mujhe Hai Alvida Tujhe,4.39,2444,Aashiqui 2
Ankit Tiwari,Sun Raha Hai Na Tu Ro Raha Hu Main,4.39,3909,Aashiqui 2
Shreya Ghoshal,Sunn Raha Hai (Female),4.37,5584,Aashiqui 2
Arijit Singh,Aasan Nahi Yaha Aashiq Ho Jana,4.35,1392,Aashiqui 2
"Tulsi Kumar, Arijit Singh",Hum Mar Jayenge,4.35,1806,Aashiqui 2
Arijit Singh,Milne Hai Mujhse Aayi Phir Jane Kyun Tanhai,4.34,1140,Aashiqui 2
"K. K., Tulsi Kumar",Piya Aaye Na,4.36,999,Aashiqui 2
,Aashiqui 2 (Mashup),4.33,33,Aashiqui 2
,Aashiqui (The Love Theme),3.00,7,Aashiqui 2
Arijit Singh,Tum Hi Ho (Remix),2.33,3,Aashiqui 2
"Mohammed Rafi, Lata Mangeshkar","Teri Bindiyaa Re, Aaye Haaye Teri Bindiyaa Re",4.35,184,Abhimaan
"Kishore Kumar, Lata Mangeshkar",Tere Mere Milan Ki Ye Rainaa,4.33,242,Abhimaan
Kishore Kumar,Mit Na Mila Re Man Ka,4.32,159,Abhimaan
"Lata Mangeshkar, Manhar Udhas",Lute Koi Man Kaa Nagar Ban Ke Meraa Saathi,4.22,123,Abhimaan
Lata Mangeshkar,Ab To Hai Tumse Har Khushi Apani,4.16,122,Abhimaan
Lata Mangeshkar,"Piya Bina Piya Bina, Baasiya",4.46,59,Abhimaan
Lata Mangeshkar,Nadiya Kinare,4.31,81,Abhimaan
Lata Mangeshkar,Jaana Tha Hamse Dur Bahane Bana Liye,4.52,120,Adalat
Lata Mangeshkar,"Unko Ye Shikayat Hai Ke Ham, Kuchh Nahin Kahte",4.43,198,Adalat
Lata Mangeshkar,Yu Hasrato Ke Daag Mohabbat Me Dho Liye,4.38,251,Adalat
"Mohammed Rafi, Asha Bhosle",Zamin Se Hamen Aasamaan Par Bithaa Ke Giraa To Na Doge,4.45,94,Adalat
Asha Bhosle,Ja Re Ja Re Sajana (Asha),4.50,44,Adalat
"Asha Bhonsle, Lata Mangeshkar",Ja Ja Re Ja Sajna,4.26,27,Adalat
"Asha Bhosle, Geeta Dutt",Dupatta Mera Malmal Ka Rang Saleti Halka,4.14,29,Adalat
"Asha Bhosle, Mohammed Rafi",Jab Din Hasin Dil Ho Jawan,3.89,18,Adalat
Mohammed Rafi,Insaaf Ka Mandir Hai Ye Bhagavaan Ka Ghar Hai,4.47,1179,Amar
Lata Mangeshkar,Na Milta Gam To Barbadi Ke Afsaane Kaha Jate,4.44,1134,Amar
Lata Mangeshkar,Naa Shikwa Hai Koyi Naa Koyi Gila Hai,4.44,1247,Amar
Lata Mangeshkar,Tere Sadake Balam Na Kar Koi Gam,4.44,1573,Amar
Lata Mangeshkar,Umangon Ko Sakhi Pi Ki Nagariyaa Kaise Le Jaaun,4.42,1060,Amar
Lata Mangeshkar,Jaane Vaale Se Mulaqat Na Hone Paai,4.40,1149,Amar
Asha Bhosle,Ik Bat Kahu Mere Piya Sun Le,4.38,1087,Amar
Lata Mangeshkar,Khamosh Hai Khewanhar Mera,4.34,1026,Amar
Lata Mangeshkar,Uudi Uudi Chhaai Ghataa Jiyaa Laharaaye,4.47,49,Amar
Asha Bhosle,Radha Ke Pyare Krishina Kanhai,3.92,48,Amar
,Dance Music (Amar),4.56,9,Amar
Kishore Kumar,"Kuchh To Log Kahenge, Logo Ka Kaam Hai Kahana",4.50,227,Amar Prem
Kishore Kumar,"Ye Kya Hua, Kaise Hua, Kab Hua, Kyu Hua, Jab Hua, Tab Hua",4.50,450,Amar Prem
Sachin Dev Burman,Doli Mein Bithaai Ke Kahaar,4.39,57,Amar Prem
"Mohammed Rafi, Rajkumari",Aao Chalen Manwa More,3.63,24,Amar Prem
Kishore Kumar,Chingari Koi Bhadke,4.46,846,Amar Prem
Lata Mangeshkar,Rainaa Biti Jaaye Shyaam Naa Aaye,4.47,148,Amar Prem
Lata Mangeshkar,Bada Natakhat Hai Re Krishhn Kanhaiya,4.41,86,Amar Prem
Mukesh,Kahin Door Jab Din Dhal Jaye,4.45,2769,Anand
Manna Dey,Zindagi Kaisi Hai Paheli Haye,4.44,1172,Anand
Mukesh,Maine Tere Liye Hi Saat Rang Ke Sapne Chune,4.42,1026,Anand
Lata Mangeshkar,"Naa, Jiyaa Laage Naa Tere Binaa Meraa Kahin, Jiyaa Laage Naa",4.37,142,Anand
Amitabh Bachchan,Maut Tu Ek Kavitaa Hai,4.31,72,Anand
Mukesh,Kisi Ki Muskurahto Pe Ho Nisaar,4.48,1181,Anari
Lata Mangeshkar,Wo Chand Khila Wo Taare Hasse,4.48,106,Anari
Lata Mangeshkar,Ban Ke Panchhi Gaaye Pyar Ka Tarana,4.44,104,Anari
Lata Mangeshkar,"Tera Jaana, Dil Ke Armaano Ka Lut Jaana",4.42,239,Anari
